evidence_status,experiment_spec_sha256,run_namespace,plan_sha256,nominal_arrival_horizon_seconds,ttft_slo_ms,e2e_slo_ms,tpot_slo_ms,phase,run_id,input_len,output_len,concurrency,request_rate,loadgen_seed,repetition,completed,failed,num_prompts,duration,request_throughput,request_goodput,input_throughput,output_throughput,total_token_throughput,actual_input_len_min,actual_input_len_max,actual_input_len_mean,input_token_abs_drift_total,input_token_net_drift_total,input_token_abs_drift_pct,arrival_span_s,realized_send_rate,drain_time_approx_s,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,p50_itl_ms,p95_itl_ms,p99_itl_ms,mean_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms
complete,e0c8eb9fd32950246ffed388ca4fcdcd4f3dc9b92a8acb58d35ef8aa2b698102,,,,,,,prefill_decode,pd-C-in128-out256-c8-r1,128,256,8,inf,0,1,64,0,64,13.869398068003647,4.614475674156789,,590.652886292069,1181.305772584138,1771.958658876207,128,128,128.0,0,0,0.0,,,,38.9895486093792,33.70146849920275,54.96133540182199,55.69686385890236,6.639975186887533,6.639194462731408,6.7089212374412455,6.721645654124657,6.6399757218755,6.605291502637556,7.380268153065117,8.536597051061106,1732.1832212657,1728.9022030017804,1750.7340679523622,1751.8713094208942
complete,e0c8eb9fd32950246ffed388ca4fcdcd4f3dc9b92a8acb58d35ef8aa2b698102,,,,,,,prefill_decode,pd-C-in128-out256-c8-r2,128,256,8,inf,0,2,64,0,64,13.909484467003495,4.60117699917799,,588.9506558947827,1177.9013117895654,1766.851967684348,128,128,128.0,0,0,0.0,,,,39.63897321841614,43.46853000242845,55.430854846781585,56.352344238257494,6.657776949939533,6.627374778441199,6.833012131183732,6.856722974250671,6.657777397117124,6.60195100135752,7.394387550812098,8.388291828159696,1737.3720954529972,1723.62071149837,1776.3580267550424,1776.524302666221
complete,e0c8eb9fd32950246ffed388ca4fcdcd4f3dc9b92a8acb58d35ef8aa2b698102,,,,,,,prefill_decode,pd-C-in128-out256-c8-r3,128,256,8,inf,0,3,64,0,64,13.958979360002559,4.5848624279352945,,586.8623907757177,1173.7247815514354,1760.5871723271532,128,128,128.0,0,0,0.0,,,,40.907803906407025,41.28937299901736,54.94022470302298,56.064215321457596,6.67533322916557,6.672046680400586,6.757536291385323,6.783005605931121,6.675333660659728,6.640750998485601,7.377897399419453,8.228029810852604,1743.1177773436275,1740.0536839995766,1767.2273662490625,1768.3185034616326
complete,e0c8eb9fd32950246ffed388ca4fcdcd4f3dc9b92a8acb58d35ef8aa2b698102,,,,,,,prefill_decode,pd-C-in128-out256-c8-r4,128,256,8,inf,0,4,64,0,64,13.806753447999654,4.6354126798195585,,593.3328230169035,1186.665646033807,1779.9984690507104,128,128,128.0,0,0,0.0,,,,39.83427985974686,35.590848499850836,55.79281519821961,56.7631140215235,6.606044969421597,6.612875154906742,6.666028868413003,6.675331188316455,6.606045426163594,6.554638501256704,7.2886174471932454,8.195892770818313,1724.375747062254,1723.0960009983392,1734.795585601023,1736.5936648024945
complete,e0c8eb9fd32950246ffed388ca4fcdcd4f3dc9b92a8acb58d35ef8aa2b698102,,,,,,,prefill_decode,pd-C-in128-out256-c8-r5,128,256,8,inf,0,5,64,0,64,14.034017234000203,4.560347827202838,,583.7245218819633,1167.4490437639265,1751.1735656458895,128,128,128.0,0,0,0.0,,,,40.90152674973524,39.4804484967608,57.67088319553295,58.67691177249071,6.7118290540466825,6.713711670582758,6.819022690987742,6.850741642843144,6.711829492464591,6.66481199732516,7.423463451050338,8.552758897785655,1752.4179355316392,1746.3740455023071,1793.7652694985445,1794.4306913638138
complete,d14941d9667fd6b909b781dc6d9fc3740f4ca6a79b4bafbcb7c6159338407bd7,,,,,,,prefill_decode,pd-D-in1536-out256-c8-r1,1536,256,8,inf,0,1,64,0,64,29.521158773000934,2.167936580407279,,3329.950587505581,554.9917645842635,3884.9423520898445,1536,1536,1536.0,0,0,0.0,,,,217.63454710946917,215.1210354968498,422.7204193986831,540.8533351005461,13.603438035785947,13.606555972564463,14.087577642939697,14.121582743185048,13.603438503371443,12.423428499459988,13.358244056144027,72.46661667377339,3686.511246234886,3685.5901245035056,3835.9166841997644,3944.373968440632
complete,d14941d9667fd6b909b781dc6d9fc3740f4ca6a79b4bafbcb7c6159338407bd7,,,,,,,prefill_decode,pd-D-in1536-out256-c8-r2,1536,256,8,inf,0,2,64,0,64,29.89853701499669,2.140572964085115,,3287.920072834737,547.9866788057894,3835.9067516405266,1536,1536,1536.0,0,0,0.0,,,,220.19346303125076,217.87110849982128,420.0993327507599,538.5615005085127,13.778276100917235,13.823339852930147,14.30558326923204,14.51454338095951,13.778276593748783,12.571533501613885,13.616946201364042,73.79049988958286,3733.6538687651455,3744.0111264986626,3823.7356938981975,3921.9371006279107
complete,d14941d9667fd6b909b781dc6d9fc3740f4ca6a79b4bafbcb7c6159338407bd7,,,,,,,prefill_decode,pd-D-in1536-out256-c8-r3,1536,256,8,inf,0,3,64,0,64,29.793840076999913,2.1480950369135656,,3299.473976699237,549.9123294498728,3849.3863061491097,1536,1536,1536.0,0,0,0.0,,,,219.47222362484808,217.23969150480116,421.3719120991295,541.0487608289259,13.729940683395524,13.765011660799763,14.274917014314697,14.522802917838016,13.72994115618921,12.519695002993103,13.61063114600256,73.34962729160905,3720.6070978907064,3721.0390145010024,3843.6645554011193,3909.521442515397
complete,d14941d9667fd6b909b781dc6d9fc3740f4ca6a79b4bafbcb7c6159338407bd7,,,,,,,prefill_decode,pd-D-in1536-out256-c8-r4,1536,256,8,inf,0,4,64,0,64,29.866545715995017,2.142865820794429,,3291.441900740243,548.5736501233738,3840.0155508636167,1536,1536,1536.0,0,0,0.0,,,,220.44831532821263,218.2763620003243,423.07832634869504,541.176463343072,13.761286801344992,13.858274354881322,14.282362755097267,14.43408970581396,13.761287353919197,12.562566997075919,13.587462502255221,73.6733384306717,3729.5764496711854,3743.4537289991567,3837.2848872011673,3938.6349551201415
complete,d14941d9667fd6b909b781dc6d9fc3740f4ca6a79b4bafbcb7c6159338407bd7,,,,,,,prefill_decode,pd-D-in1536-out256-c8-r5,1536,256,8,inf,0,5,64,0,64,29.74774658500246,2.151423463862169,,3304.5864404922913,550.7644067487153,3855.3508472410067,1536,1536,1536.0,0,0,0.0,,,,219.18190168696583,217.10262650231016,415.89010649986403,532.8875005042208,13.708220299143285,13.759412376484581,14.216571750798987,14.4008920189577,13.708220844911885,12.511744498624466,13.461815149275935,73.2886592723662,3714.7780779685036,3721.4210189995356,3811.1145584476617,3909.2868265329885
