evidence_status,experiment_spec_sha256,run_namespace,plan_sha256,nominal_arrival_horizon_seconds,ttft_slo_ms,e2e_slo_ms,tpot_slo_ms,phase,run_id,input_len,output_len,concurrency,request_rate,loadgen_seed,repetition,completed,failed,num_prompts,duration,request_throughput,request_goodput,input_throughput,output_throughput,total_token_throughput,actual_input_len_min,actual_input_len_max,actual_input_len_mean,input_token_abs_drift_total,input_token_net_drift_total,input_token_abs_drift_pct,arrival_span_s,realized_send_rate,drain_time_approx_s,mean_ttft_ms,p50_ttft_ms,p95_ttft_ms,p99_ttft_ms,mean_tpot_ms,p50_tpot_ms,p95_tpot_ms,p99_tpot_ms,mean_itl_ms,p50_itl_ms,p95_itl_ms,p99_itl_ms,mean_e2el_ms,p50_e2el_ms,p95_e2el_ms,p99_e2el_ms,request_throughput_gain_vs_c1_pct,request_throughput_gain_vs_previous_pct,output_throughput_gain_vs_c1_pct,output_throughput_gain_vs_previous_pct,p50_ttft_ms_gain_vs_c1_pct,p50_ttft_ms_gain_vs_previous_pct,p95_ttft_ms_gain_vs_c1_pct,p95_ttft_ms_gain_vs_previous_pct,p99_ttft_ms_gain_vs_c1_pct,p99_ttft_ms_gain_vs_previous_pct,p99_tpot_ms_gain_vs_c1_pct,p99_tpot_ms_gain_vs_previous_pct,p99_itl_ms_gain_vs_c1_pct,p99_itl_ms_gain_vs_previous_pct,p99_e2el_ms_gain_vs_c1_pct,p99_e2el_ms_gain_vs_previous_pct
complete,ebd49cec839bfe27d0229f26aff450a40abc1b7f2169d4b73ae438c095fcbe00,,,,,,,baseline,baseline-in512-out128-c2-r1,512,128,2,inf,0,1,128,0,128,53.450743509005406,2.3947281477653255,,1226.1008116558467,306.52520291396166,1532.6260145698081,512,512,512.0,0,0,0.0,,,,38.481074109711244,42.7095439954428,47.7291202510969,49.689749453100376,6.271798195250647,6.262482433057597,6.435034048045627,6.948275556722539,6.272572548112833,6.180811000376707,6.727036997835966,7.817911275487855,834.9994449065434,831.1064494992024,850.7067519036354,925.5759223483623,80.4565002500817,80.4565002500817,80.4565002500817,80.4565002500817,58.166830163471616,58.166830163471616,68.38407181655455,68.38407181655455,68.89149851162264,68.89149851162264,18.147552769618013,18.147552769618013,17.82386281290411,17.82386281290411,19.516990303446093,19.516990303446093
complete,ebd49cec839bfe27d0229f26aff450a40abc1b7f2169d4b73ae438c095fcbe00,,,,,,,baseline,baseline-in512-out128-c2-r2,512,128,2,inf,0,2,128,0,128,53.2330101119951,2.4045230530962876,,1231.1158031852992,307.7789507963248,1538.894753981624,512,512,512.0,0,0,0.0,,,,38.11644068724718,42.42708550009411,47.91960749826103,50.81214058649495,6.247745869034332,6.26150536616507,6.407435961451182,6.451648602097829,6.247746910248662,6.1686990011367016,6.658851254542242,7.335462346964051,831.5801660546072,829.1327990009449,846.1499766457564,849.3660446954891,81.15639301085716,81.15639301085716,81.15639301085716,81.15639301085716,57.85551151462298,57.85551151462298,68.85555755541395,68.85555755541395,73.63227268133154,73.63227268133154,10.12004395517112,10.12004395517112,9.660332446290187,9.660332446290187,10.095408726738153,10.095408726738153
complete,ebd49cec839bfe27d0229f26aff450a40abc1b7f2169d4b73ae438c095fcbe00,,,,,,,baseline,baseline-in512-out128-c2-r3,512,128,2,inf,0,3,128,0,128,53.254717882002296,2.403542917711301,,1230.6139738681861,307.65349346704653,1538.2674673352326,512,512,512.0,0,0,0.0,,,,38.245150805153116,42.26217500036,47.95737049644231,48.382312972389634,6.249520528663072,6.260349098423416,6.407880894907367,6.476490535665286,6.249521523250581,6.173609501274768,6.645685747571406,7.282205996671112,831.9342579453632,828.6420500007807,848.1967845546023,855.2744320096826,81.05766160595793,81.05766160595793,81.05766160595793,81.05766160595793,58.07259724558711,58.07259724558711,70.81595134183894,70.81595134183894,65.83997781865854,65.83997781865854,10.655947078606198,10.655947078606198,8.60279754480957,8.60279754480957,10.829229487250402,10.829229487250402
complete,ebd49cec839bfe27d0229f26aff450a40abc1b7f2169d4b73ae438c095fcbe00,,,,,,,baseline,baseline-in512-out128-c2-r4,512,128,2,inf,0,4,128,0,128,52.90409065499989,2.419472642195446,,1238.7699928040684,309.6924982010171,1548.4624910050857,512,512,512.0,0,0,0.0,,,,38.00010255503139,40.37019700263045,47.43479040116654,48.787288473540684,6.208333588643014,6.2307084882040655,6.323375997247447,6.428981696826239,6.208334575972469,6.134900999313686,6.610472748434404,7.185193103214267,826.4584683126941,823.9703420003934,844.1321548489213,849.6918093977001,82.26817220208436,82.26817220208436,82.26817220208436,82.26817220208436,51.24392464353307,51.24392464353307,69.86854101756663,69.86854101756663,70.1972764566938,70.1972764566938,9.973425008165071,9.973425008165071,7.522385817882005,7.522385817882005,10.478849436807902,10.478849436807902
complete,ebd49cec839bfe27d0229f26aff450a40abc1b7f2169d4b73ae438c095fcbe00,,,,,,,baseline,baseline-in512-out128-c2-r5,512,128,2,inf,0,5,128,0,128,53.15109836099873,2.408228690414495,,1233.0130894922215,308.2532723730554,1541.266361865277,512,512,512.0,0,0,0.0,,,,37.84717428897011,38.84299700075644,47.47474204959872,48.01319963538845,6.240077055364541,6.260229771630014,6.3860029484318135,6.452311127244125,6.240078096764172,6.161369499750435,6.6483712471381295,7.3480268023559,830.3369603202668,827.8348649982945,845.0959213034366,854.3387750227704,80.79899850671362,80.79899850671362,80.79899850671362,80.79899850671362,46.13239886458522,46.13239886458522,71.93027423730271,71.93027423730271,69.18233983884845,69.18233983884845,10.370598742371516,10.370598742371516,10.40548607769356,10.40548607769356,11.052346644756428,11.052346644756428
complete,ebd49cec839bfe27d0229f26aff450a40abc1b7f2169d4b73ae438c095fcbe00,,,,,,,baseline,baseline-in512-out128-c32-r1,512,128,32,inf,0,1,128,0,128,10.049194581995835,12.737339192269713,,6521.517666442093,1630.3794166105233,8151.897083052616,512,512,512.0,0,0,0.0,,,,282.2093644844017,261.502063502121,588.4216956488672,709.4338742777473,17.473038953738527,17.580399448824327,18.829438378343472,19.13688319257078,17.473039806409503,14.55905900002108,20.77297649884713,89.37924609926995,2501.2853116091947,2494.1445989970816,2810.7329292961367,2962.0490542270277,859.8315597033869,24.635111926703,859.8315597033869,24.635111926703,868.4241177979013,37.86159470113457,1975.8991688366723,114.22417077166655,2311.309202409329,109.68808622884963,225.40101473850612,60.335050000688994,1247.0360125139714,38.649056036828334,282.4809824289502,79.00846253021996
complete,ebd49cec839bfe27d0229f26aff450a40abc1b7f2169d4b73ae438c095fcbe00,,,,,,,baseline,baseline-in512-out128-c32-r2,512,128,32,inf,0,2,128,0,128,9.954561468002794,12.858426803775709,,6583.514523533163,1645.8786308832907,8229.393154416453,512,512,512.0,0,0,0.0,,,,278.2115149061042,259.0090105004492,599.852727151665,691.0431447611336,17.324683885455105,17.44924031102234,18.576779398435473,19.011234528275445,17.324684767653327,14.413947999855736,19.04261324852996,88.5623378522725,2478.4463683589024,2477.3825100019167,2790.4738740995526,2876.975424601769,868.7518764133276,27.316082438555767,868.7518764133276,27.316082438555767,863.676843636928,33.96577314384206,2013.7165344688117,118.01770145763939,2261.3921862134803,103.57493160923235,224.49349166583977,55.643460983451874,1223.948641781293,34.89556447853508,272.9155259342509,74.04861772654783
complete,ebd49cec839bfe27d0229f26aff450a40abc1b7f2169d4b73ae438c095fcbe00,,,,,,,baseline,baseline-in512-out128-c32-r3,512,128,32,inf,0,3,128,0,128,9.961766162996355,12.84912714328354,,6578.753097361173,1644.6882743402932,8223.441371701467,512,512,512.0,0,0,0.0,,,,279.42588097658927,260.0565549946623,609.1656584012518,695.8100416162779,17.32616248696068,17.37485470865669,18.509047703937682,19.031209837800322,17.326163504796252,14.46836099785287,34.338407745963195,88.21520365600009,2479.8485168205957,2481.4472969992494,2793.8422200022605,2909.316058298282,867.9181915569179,26.444153415121118,867.9181915569179,26.444153415121118,872.6857427095496,36.281162142605304,2069.743886861078,118.71205204091892,2285.02698152308,101.33572646536844,225.16322490652036,58.11296723850998,1215.592817259795,36.42322920664742,276.99859250841337,73.79382679958886
complete,ebd49cec839bfe27d0229f26aff450a40abc1b7f2169d4b73ae438c095fcbe00,,,,,,,baseline,baseline-in512-out128-c32-r4,512,128,32,inf,0,4,128,0,128,10.139058190994547,12.62444672757563,,6463.716724518723,1615.9291811296807,8079.645905648404,512,512,512.0,0,0,0.0,,,,284.8070894375496,262.9085814987775,622.9679106021649,715.6887582392665,17.636148273807315,17.774036846484112,18.929135964589385,19.255859158217827,17.636149165109888,14.697721999255009,19.428046500252094,89.5858568022959,2524.597920211079,2512.632662503165,2877.325080798255,2966.151881568585,851.0480879047348,23.463368226021508,851.0480879047348,23.463368226021508,884.9673432544402,39.57215480774836,2130.907930229817,124.29913919058518,2396.7216103649184,109.11429228940706,229.38852262551273,61.41063527624993,1240.6021133395755,40.137189289471344,285.6657714081139,79.03435442726393
complete,ebd49cec839bfe27d0229f26aff450a40abc1b7f2169d4b73ae438c095fcbe00,,,,,,,baseline,baseline-in512-out128-c32-r5,512,128,32,inf,0,5,128,0,128,9.962016377998225,12.848804412999812,,6578.5878594559035,1644.6469648639759,8223.23482431988,512,512,512.0,0,0,0.0,,,,282.9785308983901,260.94827099950635,622.8764265997597,697.3555207301251,17.302559325543363,17.389576515719327,18.59944330040087,18.989154316567316,17.30256017058524,14.430742001422914,17.882297001051484,88.375431950044,2480.4035652423977,2475.467768501403,2818.7045409526036,2904.7581062683457,864.6305515441614,25.461303844064886,864.6305515441614,25.461303844064886,881.7212822167436,37.71503650041217,2155.7534852820345,126.64559935360936,2357.2459155524184,105.48951819686022,224.82071775512605,59.30882338746179,1227.8575030023624,37.542897818907626,277.5787937611528,75.99159559796016
